,sbj_ID,gender,age,comp_score,lextale_score,morph_score,changes_seen,N-1_skips,target_skips
1,3,M,22,91.67,86.25,95,15,,
1,4,M,24,97.44,95.5,100,7.5,,
1,8,F,25,100.0,80,75,5,,
1,9,M,26,95.0,75,75,15,,
1,10,F,23,85.0,85,95,2,,
1,11,,,100.0,92.5,90.0,10.0,,
1,12,M,26,97.5,92.5,95,35,,
1,13,M,20,97.5,86.25,90,30,9,0
1,14,M,25,90.0,87.5,85,30,6,4
1,15,F,21,97.5,77.5,95,17.5,10,0
1,16,F,25,95.0,91.25,80,10,9,0
1,19,F,25,94.87,85,95,5,7,0
1,21,F,20,90.0,82.5,85,5,18,1
1,22,F,22,100.0,82.5,95,22.5,3,3
1,24,M,32,95.0,75,85,17,2,0
1,25,,,95.0,78.75,95.0,20.0,4.0,1.0
1,26,F,19,90.0,80,85,20,8,0
1,29,M,25,95.0,75,75,5,2,0
1,31,F,24,100.0,88.75,85,20,8,7
1,32,F,22,100.0,93.75,100,7.5,1,0
1,33,F,22,95.0,88.75,90,12.5,10,13
1,34,F,20,100.0,80,85,25,3,3
1,35,M,20,90.0,81.25,80,17.5,0,0
1,36,F,25,92.5,86.25,90,12.5,2,0
1,38,M,20,100.0,78.75,95,22.5,10,1
1,39,F,20,95.0,90,95,30,1,0
1,40,F,23,92.5,90,95,0,2,0
1,41,F,23,95.0,80,85,3,12,8
1,42,,,95.0,98.75,100.0,30.0,17.0,2.0
1,43,,,95.0,86.25,95.0,3.0,4.0,1.0
1,45,,,90.0,93.75,100.0,40.0,5.0,0.0
1,46,,,97.5,81.25,75.0,30.0,0.0,0.0
