,Italian,LD,illegal_nonword,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10
0,change,5,qdzljy,cneptf,bhghop,ctusse,ihfnoe,sisfne,isnroe,fatnpu,ccpiso,arscgo,ccafun
1,example,4,ynbhrzv,axffpee,axaudll,edaflme,gxsmhlt,exdtflo,ecsfpoe,fxpuppe,examapt,fxamops,axaobli
2,genius,2,tvkxmh,aedius,onnius,genius,gebiun,genius,oelius,glnios,ggndus,guniuf,nendus
3,horror,2,mgdkzq,dorrot,hocrbr,uofror,hordoh,hourmr,hobrer,hurrgr,horbog,hbrgor,aorrhr
4,hybrid,3,tslwxg,bybrhd,hrbrod,tyetid,fyornd,hgbrgs,hyupif,tssrid,tybpic,albrii,grsrid
5,hygiene,2,dzvjfcp,fygienn,dagiene,hyggens,gygimne,hymitne,hbniene,hygneni,cyhiene,hpgiehe,hyggane
6,island,3,yrbgqh,isoeud,iulaof,iccanc,nulpnd,cslcsd,amlaod,ipotnd,hbltnd,rslano,cslatu
7,lettuce,3,bvqsyzf,letoese,mtttuhe,eettuih,lftbuci,lttiece,legsoce,lsteuie,gpttece,letsfce,aetouce
8,marathon,2,vfcgszwk,maraphon,mdrathcn,barathom,mnrathoo,oarathcn,maralfon,murethon,maaaohon,maomthon,marathtt
9,molecule,2,phdtsnfv,molehude,molecusr,iolscule,oogecule,oofecule,mbfecule,molocnle,moleeile,folecufe,uolecull
10,mountain,3,qslzwyfr,moustnln,countaid,rruncain,mosfhain,hofniain,couptain,momnobin,mnunthhn,pountdtn,meoncain
11,nephew,4,xkrvmy,benhlf,neafow,lethrr,iaphcg,nebacw,hebtew,fbphme,nnmhfr,neelgw,aprhec
12,nostril,5,zwygmqv,nlodrgm,otuthgl,nmpdaml,hrrticl,nemhcfl,noeciip,nodgpob,pusgmnl,cdscbel,mootcgr
13,paddle,4,jxnhvr,hhdoue,nsbdne,ftscle,pauphe,ualdpp,dadhah,tddhue,pudoei,paihfl,ohdsoe
14,parcel,3,hfjmwt,pifcol,udhcel,prmceo,padchb,gascrl,pofceu,prrgeb,parhpg,ptrntl,aardeh
15,plaque,3,brjtsd,plhnut,foasue,plfcle,oldqub,pluqgb,sltque,dmaqae,pumqua,rlcque,alamhe
16,platoon,3,ybrkhdv,ilutoof,pladoon,platone,prpsoon,anatooe,plciooc,ilatoih,plctnoa,pfhtnon,llftooh
17,prophet,3,wzsyxcn,prcfret,trhphes,proghua,urobpet,ppolhem,thhphet,dtophbt,prodpep,propgei,grobhef
18,recruit,3,xzmdnbq,hpcrait,rmcruoe,rncouht,refiuic,recrpbt,retrufo,secruut,rgcdoit,rncruan,rtbruft
19,resource,4,jylbkndg,ehbourcs,ruspubcn,redcgrcn,rpsruice,ieoouhce,desorgfe,resnbrce,geaoercm,rdnousoe,resorcbg
20,rhythm,4,kjxgqs,ioefhm,thfuhe,ohyhos,cmctha,rtfatm,scyrhr,rbuohb,rmnnpm,rtyhae,iidtha
21,school,3,zyntdg,dmhool,ncmool,schmcs,cchhgl,ccmoil,acsotl,bphdol,sihmob,hcuoon,sccitl
22,sphere,3,vgqmxl,pppefe,rdhede,sparru,uueere,nphebh,puhege,sfhbge,lcherl,ophdrn,smtere
23,spinach,1,gfvtxwb,spinach,spintch,spinacm,spinacc,spinacb,soinach,spirach,spinamh,spinich,dpinach
24,sponge,4,qmxhkc,nsolge,bptehe,bposnn,eginge,sconnp,sognfh,hponto,eiecge,ptobue,innngl
25,surprise,3,vbqjyzch,pufprife,speprsse,surpfipc,cohprise,tuhprioe,sprrcise,subprite,subprihd,snrpmisc,sgrplrse
26,synagogue,3,lzcrjhwfx,bynlgoeue,tygagogpe,synassgun,pfnsgogue,synambbue,esnagogun,sfnalonue,synhgfcue,iiiagogue,bynrgogue
27,theorem,2,wnbpjdc,themmem,tsearem,tneorem,tdeodem,thuprem,rheorem,cheirem,thiorem,thelrpm,theerom
28,throne,2,sbzvlm,rhrdne,thpono,thrpnm,thufne,thrand,thlont,ghronh,thgore,taronl,thrcse
29,trumpet,4,ljxwfdv,truouaf,trfeplc,brrppeu,tspeprt,trcmiop,orlmfef,trumadf,tretpmc,sfuhpem,thumdpn
30,vehicle,3,pyjmgqd,volicbe,vehbclb,vehlsse,huhicme,ieheclh,mnhicge,vchbsle,tehihlo,telacle,veaicge
31,yellow,4,vmfqhk,buolbw,nescod,metlsg,yoliew,yclpuw,cedcon,telnoh,ysalbw,ypbuor,yshmdw
32,arcade,2,pvswfk,arhadi,apctde,ascadg,areede,grcgde,trcnde,arcude,ahcadp,rrcaie,arccde
33,sanity,2,rvxghd,stncty,eanity,smnmty,fanicy,sahitp,uaniey,saoits,stnito,sacitu,shnimy
34,acidity,2,lhxzfjb,mcidiiy,aeidiuy,acipaty,achdnty,aiidigy,sciditt,acisrty,lcidbty,acpdiry,pciditb
35,audible,2,zpngfvj,budible,iudibue,auhibla,aubitle,auaiblc,auriile,iudiblr,hudoble,sudnble,aoduble
36,density,2,rfmcbvj,denpoty,mensoty,donsity,iensitp,dersitd,deninty,denaiby,genscty,decsito,dhnsrty
37,furious,2,wlxdhty,lurioug,fhrioun,fureods,fureoua,fueioud,fpripus,furlols,farioua,furrfus,furadus
38,nervous,2,mwcyqdg,nnrvoes,neoveus,nerrous,lervbus,lervoss,nervoos,nermnus,nnrvols,ncrvoue,nerrods
39,signals,2,mdhvcrk,stgnars,sitnels,sienali,sirnala,signlls,sidnaps,sifnafs,sigpgls,aignals,uignols
40,soloist,2,rbgvhkf,aoloiet,sslgist,soclist,somoiht,eoloint,srloest,loloast,sfloisb,smloisg,nolocst
41,zealous,5,mjkpvgw,megpmfs,relboua,uhofocs,pocnpus,fehsofs,cgehoes,zhdlfsc,febfuls,gpafsis,zutlepg
42,bandages,3,hkyqmfrp,btodager,gtndaghs,bdndagef,baluagts,bpnpaees,baeddgus,babcases,caedades,igndagel,bdrdcges
43,eruption,3,yhsdcqjk,eosptifn,dlupsion,ehuptigp,gluptiod,efgptidn,rrupteop,cruptics,erhctiod,etmptiop,ermttron
44,firmness,5,btjwqdyl,gicbttss,firpeeab,gcrinics,fmrmggts,nbrcnfbs,fidlpesd,litmslsp,pfrmnibh,fipmcmss,ftraheud
45,fortress,4,ydnxklgm,fubtrfsd,fnrtbcss,fomnrnas,morsreuu,uoruiesh,fhrpoesm,fbntrbsi,fodegiss,fettriis,fcatrfsc
46,genetics,2,jwxmbryz,penetics,heneticm,gnneticb,gentsics,geoetiss,beneeics,gunetigs,genurics,genrsics,gonetiss
47,glorious,2,qnvyzfkt,glmrious,nloriouc,glrrioul,guoriors,ploriouh,gmoriouu,gdorioos,gborioos,glirieus,globioud
48,gracious,3,vkmlyhjw,grmciius,gtaniouh,gdacidls,oraciruc,gmacioes,nrscgous,graniorg,grfciosn,gnacieus,giamiohs
49,pianists,2,zhwvjlmx,pmanisms,piunests,pionisis,pranises,piatisto,ppanssts,iianifts,rianusts,ptaniets,pbanilts
50,sculptor,2,jzghxmfq,sculstog,cculpnor,scilptmr,sculehor,dculpror,snulpttr,sculpmor,scblptoe,soulptof,scuaptpr
51,violence,2,qfxghkjr,oiolance,viglende,vpolence,viplende,viclenme,virlenci,viobenme,viblenge,vbolencl,violeuce
52,dignified,4,lpxqhcvkm,dmguifaei,dtcnifheb,digaifnee,degnifieo,dosniftem,dugcifbrd,dighgfifd,dihnmfpec,dbgniiice,pugnifmld
53,greatness,6,wxlmhfyvk,gbdttopus,cueartese,gremisesn,grtpfnups,omratnmgm,grotlgals,gfeonoeau,dceitusps,odratclos,grmrmbede
54,sensitive,2,qhgrxzpcw,seneifive,selsitivd,sensttive,spnsltive,segsitime,setsitivh,scnsitivp,senrithve,censitite,snnsitivr
55,vigilance,2,krmwsbpyj,pigilbnce,vrgilauce,vigdlancm,viginmnce,vigiadnce,vugilmnce,vihillnce,vigipaace,vggilanre,cigilancp
56,european,2,gkmlcdht,eurupeen,eurupeap,muropedn,eurocaan,europgan,eurspeaa,furopeun,eurfpeag,esropeln,eurobeae
57,historic,3,jznbvpdw,hastmaic,hiltorrt,hpstorgn,hiadormc,hispornh,eistohpc,oisnocic,hiseocbc,hgstohie,uistoruc
58,humidity,2,zrbncpfg,numidtty,humodiby,hamidioy,hsmigity,humudits,sumidipy,huiiditf,hulidaty,hamidify,hsminity
59,jealousy,5,fmdwqrzt,pgalelse,eeanessl,jemgobsc,jeamflpy,jtgaougn,jgililty,reeepdsy,ferooudu,jeuroiri,jemrsusl
60,northern,5,qsxpzmbk,lodghrrf,codnheff,borlhmhs,noaheern,uoofhgrn,nodphnlc,tosoheel,hornhpme,noiohsrr,niplhepm
61,vastness,4,hfgpmwyx,vospnnso,eaotnems,vpsdnede,oaspnhsc,vmdtrfss,vortbesu,vcslfcss,pautaeus,vatfdess,dasgnnns
62,asthmatic,3,xvbwkgqly,fslhmptic,gstnhatic,fsrhmatbc,mschiatic,asehratih,afthmatrf,astematio,althmadbc,aothmeuic,asiombtic
63,luxurious,6,tpchgfdjk,lonbrcmes,duxdlboga,prxuaapug,ltiumbfum,fsxoritgs,louareouc,nhxarsnur,hunrrouuf,goxuathns,lgxledoce
